     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
173     173  0.000006 2024-05-20 08:39:42.063461 2024-05-20 08:47:44.738950 0 days 00:08:02.675489                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
196     196  0.000006 2024-05-20 09:26:50.297208 2024-05-20 09:34:42.773038 0 days 00:07:52.475830                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
144     144  0.000006 2024-05-20 07:43:21.300479 2024-05-20 07:51:28.126626 0 days 00:08:06.826147                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
192     192  0.000006 2024-05-20 09:18:53.197927 2024-05-20 09:26:49.894052 0 days 00:07:56.696125                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
179     179  0.000006 2024-05-20 08:50:18.144277 2024-05-20 08:58:17.320293 0 days 00:07:59.176016                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
209     209  0.000006 2024-05-20 09:53:38.546580 2024-05-20 10:01:36.027007 0 days 00:07:57.480427                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
199     199  0.000007 2024-05-20 09:32:41.776388 2024-05-20 09:40:42.269204 0 days 00:08:00.492816                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
205     205  0.000007 2024-05-20 09:45:43.236467 2024-05-20 09:53:38.132081 0 days 00:07:54.895614                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
158     158  0.000007 2024-05-20 08:15:00.117589 2024-05-20 08:22:55.990145 0 days 00:07:55.872556                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
118     118  0.000007 2024-05-18 09:20:44.219791 2024-05-18 09:26:18.469336 0 days 00:05:34.249545                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
88       88  0.000007 2024-05-18 08:44:23.180304 2024-05-18 08:50:01.483017 0 days 00:05:38.302713                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
175     175  0.000007 2024-05-20 08:42:18.046406 2024-05-20 08:50:17.771182 0 days 00:07:59.724776                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
136     136  0.000007 2024-05-20 07:27:03.274706 2024-05-20 07:35:10.666525 0 days 00:08:07.391819                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
156     156  0.000007 2024-05-20 08:07:43.589434 2024-05-20 08:15:53.333242 0 days 00:08:09.743808                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
176     176  0.000007 2024-05-20 08:47:05.692478 2024-05-20 08:55:02.693895 0 days 00:07:57.001417                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
204     204  0.000007 2024-05-20 09:42:43.522819 2024-05-20 09:50:39.656795 0 days 00:07:56.133976                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
146     146  0.000007 2024-05-20 07:51:01.897029 2024-05-20 07:59:00.463127 0 days 00:07:58.566098                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
137     137  0.000007 2024-05-20 07:34:56.673778 2024-05-20 07:42:57.883744 0 days 00:08:01.209966                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
166     166  0.000007 2024-05-20 08:30:55.268533 2024-05-20 08:39:00.158254 0 days 00:08:04.889721                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
197     197  0.000007 2024-05-20 09:29:40.426532 2024-05-20 09:37:42.437544 0 days 00:08:02.011012                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
127     127  0.000007 2024-05-20 07:10:38.560905 2024-05-20 07:18:56.760200 0 days 00:08:18.199295                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
96       96  0.000008 2024-05-18 08:52:25.438080 2024-05-18 08:58:00.367924 0 days 00:05:34.929844                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
174     174  0.000008 2024-05-20 08:40:12.964022 2024-05-20 08:48:17.630015 0 days 00:08:04.665993                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
145     145  0.000008 2024-05-20 07:45:44.876085 2024-05-20 07:53:46.010138 0 days 00:08:01.134053                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
165     165  0.000008 2024-05-20 08:25:33.822949 2024-05-20 08:33:33.442847 0 days 00:07:59.619898                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
194     194  0.000008 2024-05-20 09:23:49.448259 2024-05-20 09:31:49.978458 0 days 00:08:00.530199                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
191     191  0.000008 2024-05-20 09:16:35.942817 2024-05-20 09:24:40.253567 0 days 00:08:04.310750                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
184     184  0.000008 2024-05-20 09:03:02.420261 2024-05-20 09:10:55.972439 0 days 00:07:53.552178                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
